id,IATA,Latitude,Longitude,Name,City,Country,Label,degree,weighted_degree,component
125,YTQ,58.66780090332031,-69.95580291748047,Tasiujaq Airport,Tasiujaq,Canada,CYTQ,2,65,3
1148,HPB,61.52389908,-166.1470032,Hooper Bay Airport,Hooper Bay,United States,PAHP,2,65,4
31,YKU,53.80559921264648,-78.91690063476562,Chisasibi Airport,Chisasibi,Canada,CSU2,4,64,3
38,YAY,51.3918991089,-56.083099365200006,St. Anthony Airport,St. Anthony,Canada,CYAY,3,63,3
2035,YOJ,58.62139892578125,-117.16500091552734,High Level Airport,High Level,Canada,CYOJ,1,63,37
696,PDT,45.695098877,-118.841003418,Eastern Oregon Regional At Pendleton Airport,Pendleton,United States,KPDT,1,63,53
2198,GDV,47.13869858,-104.8069992,Dawson Community Airport,Glendive,United States,KGDV,1,62,16
2045,YZG,62.17940139770508,-75.66719818115234,Salluit Airport,Salluit,Canada,CYZG,2,62,3
70,YQC,61.0463981628418,-69.6177978515625,Quaqtaq Airport,Quaqtaq,Canada,CYHA,2,61,3
81,YWB,61.5886001587,-71.929397583,Kangiqsujuaq (Wakeham Bay) Airport,Kangiqsujuaq,Canada,CYKG,2,61,3
2396,RSH,61.7788848877,-161.319458008,Russian Mission Airport,Russian Mission,United States,PARS,3,60,4
2408,WLK,66.60009766,-159.9859924,Selawik Airport,Selawik,United States,PASK,1,60,4
2167,MSS,44.93579864501953,-74.84559631347656,Massena International Richards Field,Massena,United States,KMSS,1,59,25
1127,CDB,55.20610046386719,-162.72500610351562,Cold Bay Airport,Cold Bay,United States,PACD,3,59,13
2400,KSM,62.0605011,-163.302002,St Mary's Airport,St Mary's,United States,PASM,2,58,4
2394,MTM,55.131001,-131.578003,Metlakatla Seaplane Base,Metakatla,United States,PAMM,1,58,4
2164,CNM,32.337501525878906,-104.26300048828124,Cavern City Air Terminal,Carlsbad,United States,KCNM,1,58,31
1425,EUX,17.49650001525879,-62.979400634765625,F. D. Roosevelt Airport,Oranjestad,Netherlands Antilles,TNCE,1,58,46
56,YFA,52.20140075683594,-81.6968994140625,Fort Albany Airport,Fort Albany,Canada,CYFA,2,57,8
72,YHK,68.635597229,-95.8497009277,Gjoa Haven Airport,Gjoa Haven,Canada,CYHK,3,57,9
1186,MUE,20.00130081176757,-155.66799926757812,Waimea Kohala Airport,Kamuela,United States,PHMU,1,56,27
2260,PVU,40.219200134277,-111.72299957275,Provo Municipal Airport,Provo,United States,KPVU,3,56,49
2031,ZKE,52.282501220703125,-81.67780303955078,Kashechewan Airport,Kashechewan,Canada,CZKE,2,56,8
123,YTH,55.80110168457031,-97.86419677734376,Thompson Airport,Thompson,Canada,CYTH,4,56,3
152,YYH,69.5466995239,-93.5766983032,Taloyoak Airport,Spence Bay,Canada,CYYH,3,56,9
1954,YTE,64.2300033569,-76.5267028809,Cape Dorset Airport,Cape Dorset,Canada,CYTE,2,55,7
1158,KLG,61.53630065917969,-160.34100341796875,Kalskag Airport,Kalskag,United States,PALG,3,54,4
508,ATY,44.91400146,-97.15470123,Watertown Regional Airport,Watertown,United States,KATY,1,54,5
1126,BTT,66.91390228,-151.529007,Bettles Airport,Bettles,United States,PABT,2,54,4
497,AIA,42.0531997681,-102.804000854,Alliance Municipal Airport,Alliance,United States,KAIA,2,53,18
87,XGR,58.71139907836914,-65.9927978515625,Kangiqsualujjuaq (Georges River) Airport,Kangiqsualujjuaq,Canada,CYLU,1,53,3
114,YQZ,53.026100158691406,-122.51000213623048,Quesnel Airport,Quesnel,Canada,CYQZ,2,52,32
2386,ELI,64.61470032,-162.2720032,Elim Airport,Elim,United States,PFEL,3,50,17
2404,SHH,66.249604,-166.089112,Shishmaref Airport,Shishmaref,United States,PASH,2,48,17
1181,HNM,20.79560089111328,-156.01400756835938,Hana Airport,Hana,United States,PHHN,1,48,27
74,YHR,50.46889877319336,-59.63669967651367,Chevery Airport,Chevery,Canada,CYHR,2,47,3
93,YNA,50.18999862670898,-61.78919982910156,Natashquan Airport,Natashquan,Canada,CYNA,3,47,3
2322,XSC,21.5156993866,-71.528503418,South Caicos Airport,South Caicos,Turks and Caicos Islands,MBSC,2,45,19
2061,ZUM,53.5619010925293,-64.10639953613281,Churchill Falls Airport,Churchill Falls,Canada,CZUM,2,44,3
970,UPN,19.396699905395508,-102.03900146484376,Licenciado y General Ignacio Lopez Rayon Airport,Uruapan,Mexico,MMPN,2,44,51
1175,VEE,67.0086975098,-146.365997314,Venetie Airport,Venetie,United States,PAVE,2,44,4
1129,CIK,66.6449966431,-143.740005493,Chalkyitsik Airport,Chalkyitsik,United States,PACI,2,44,4
2370,KPN,59.9329986572,-164.031005859,Kipnuk Airport,Kipnuk,United States,PAKI,1,44,4
