source,target,weight,nc_alpha
806,744,998,0.0
575,549,998,0.0
1733,1201,997,0.0
591,891,997,0.0
893,368,996,0.0
273,833,995,0.0
1833,1820,994,0.0
292,733,993,0.0
733,1184,993,0.0
1342,1322,993,0.0
806,1591,992,0.0
209,861,991,0.0
575,651,991,0.0
691,541,990,0.0
965,725,990,0.0
1347,1311,990,0.0
53,702,987,0.0
806,1201,986,0.0
806,368,985,0.0
1833,1759,984,0.0
1764,1847,984,0.0
691,546,983,0.0
1370,1371,982,0.0
259,1752,980,0.0
280,1653,980,0.0
625,858,980,0.0
1666,1702,979,0.0
1733,1808,979,0.0
645,340,979,0.0
157,1366,978,0.0
712,697,978,0.0
591,618,977,0.0
682,2190,977,0.0
1264,1579,977,0.0
199,1254,975,0.0
53,647,975,0.0
1666,1573,974,0.0
691,671,974,0.0
292,625,973,0.0
132,738,971,0.0
691,966,971,0.0
259,1068,970,0.0
806,859,970,0.0
579,1264,970,0.0
292,861,969,0.0
157,661,969,0.0
663,286,969,0.0
203,800,967,0.0
280,1202,966,0.0
1798,1759,966,0.0
597,714,965,0.0
259,1092,963,0.0
1542,2060,963,0.0
1202,1752,962,0.0
514,1417,961,0.0
627,690,960,0.0
225,847,959,0.0
286,890,959,0.0
1573,1790,959,0.0
1659,1790,958,0.0
574,692,957,0.0
77,571,957,0.0
702,2189,957,0.0
552,498,957,0.0
571,740,956,0.0
1542,1656,956,0.0
571,2193,955,0.0
365,865,954,0.0
627,1187,954,0.0
893,1450,952,0.0
856,286,952,0.0
1548,1536,952,0.0
365,856,951,0.0
597,555,950,0.0
554,1323,949,0.0
1753,1847,949,0.0
193,1450,948,0.0
53,627,948,0.0
981,510,948,0.0
648,1161,947,0.0
974,735,947,0.0
575,1353,946,0.0
1542,1573,946,0.0
308,286,945,0.0
645,687,945,0.0
199,1201,944,0.0
204,1095,944,0.0
965,738,944,0.0
203,890,943,0.0
1733,1705,942,0.0
1187,737,942,0.0
579,1734,941,0.0
259,1456,940,0.0
647,1161,940,0.0
663,720,940,0.0
1201,1825,939,0.0
691,986,938,0.0
506,974,938,0.0
286,852,937,0.0
1548,1059,937,0.0
1573,1762,937,0.0
1303,1318,937,0.0
280,1456,936,0.0
733,697,934,0.0
204,1264,933,0.0
591,209,933,0.0
806,1068,932,0.0
904,1542,932,0.0
885,864,932,0.0
1659,847,931,0.0
571,651,931,0.0
682,1161,930,0.0
702,653,930,0.0
193,884,929,0.0
665,690,929,0.0
157,150,928,0.0
904,765,928,0.0
1733,1264,927,0.0
1808,1614,927,0.0
273,885,926,0.0
280,1201,926,0.0
201,766,926,0.0
597,613,926,0.0
1187,1201,926,0.0
1201,1851,926,0.0
647,653,925,0.0
201,859,924,0.0
575,546,924,0.0
1573,1579,924,0.0
575,986,923,0.0
691,1005,923,0.0
527,714,923,0.0
1653,1642,923,0.0
893,1456,922,0.0
806,1094,921,0.0
280,1450,919,0.0
625,739,919,0.0
